"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","stimulus","task","tasknum","slider_start","key_press","nback","correct_key","detect","n","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"","html-keyboard-response","106","346959","0.0-1.0-23.0-2.0-0.1","365.6600001268089","","<p>T</p>","detection","5","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","107","348469","0.0-1.0-23.0-2.0-0.2","null","","<p>R</p>","detection","5","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","108","349980","0.0-1.0-23.0-2.0-0.3","null","","<p>R</p>","detection","5","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","109","351485","0.0-1.0-23.0-2.0-0.4","null","","<p>E</p>","detection","5","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","110","352987","0.0-1.0-23.0-2.0-0.5","null","","<p>X</p>","detection","5","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","111","354500","0.0-1.0-23.0-2.0-0.6","null","","<p>R</p>","detection","5","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","112","356015","0.0-1.0-23.0-2.0-0.7","null","","<p>X</p>","detection","5","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","113","357531","0.0-1.0-23.0-2.0-0.8","null","","<p>E</p>","detection","5","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","114","359034","0.0-1.0-23.0-2.0-0.9","null","","<p>X</p>","detection","5","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","115","360549","0.0-1.0-23.0-2.0-0.10","329.349999781698","","<p>T</p>","detection","5","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","116","362064","0.0-1.0-23.0-2.0-0.11","null","","<p>R</p>","detection","5","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","117","363565","0.0-1.0-23.0-2.0-0.12","null","","<p>E</p>","detection","5","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","118","365080","0.0-1.0-23.0-2.0-0.13","345.790000166744","","<p>T</p>","detection","5","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","119","366582","0.0-1.0-23.0-2.0-0.14","null","","<p>E</p>","detection","5","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","120","367635","0.0-1.0-23.0-3.0","1051.0749998502433","","<p style='font-size:25px'>Great job! You earned 1 point(s) from this task.</p> </p><p style='font-size:25px'>Press the space bar to continue. </p>","debrief","","","32","","","","","","","","","","",""
"","html-slider-response","121","371956","0.0-2.0-0.0-0.0","4319.970000069588","80","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","BDM","6","0","","","","","","","","","","","",""
